subject_code_1;subject_code_2;n_cooc;difficulty_score_any
05.568;05.615;692;0.096821
05.568;05.616;79;0.126582
05.568;22.400;37;0.189189
05.569;05.554;619;0.3021
05.569;05.555;2353;0.032299
05.569;05.556;89;0.11236
05.569;05.557;26;0.230769
05.569;05.558;2496;0.21234
05.569;05.559;2014;0.173287
05.569;05.560;1294;0.156878
05.569;05.561;939;0.074547
05.569;05.562;1767;0.109225
05.569;05.563;2533;0.300434
05.569;05.564;1754;0.217788
05.569;05.565;1356;0.121681
05.569;05.566;1764;0.18424
05.569;05.567;1225;0.147755
05.569;05.568;1400;0.098571
05.569;05.569;0;0
05.569;05.570;819;0.185592
05.569;05.571;1137;0.230431
05.569;05.572;1251;0.147082
05.569;05.573;1732;0.230947
05.569;05.574;309;0.074434
05.569;05.575;963;0.180685
05.569;05.576;105;0.295238
05.569;05.577;153;0.058824
05.569;05.578;207;0.062802
05.569;05.579;334;0.062874
05.569;05.580;58;0.155172
05.569;05.581;68;0.220588
05.569;05.582;720;0.2
05.569;05.583;58;0.275862
05.569;05.584;191;0.235602
05.569;05.585;1095;0.20274
05.569;05.586;282;0.262411
05.569;05.587;100;0.25
05.569;05.588;131;0.030534
05.569;05.589;576;0.260417
05.569;05.590;1355;0.210332
05.569;05.591;414;0.13285
05.569;05.592;53;0.169811
05.569;05.593;289;0.221453
05.569;05.594;74;0.148649
05.569;05.595;425;0.152941
05.569;05.596;371;0.169811
05.569;05.597;192;0.166667
05.569;05.598;184;0.076087
05.569;05.599;116;0.163793
05.569;05.600;139;0.165468
05.569;05.601;113;0.168142
05.569;05.604;164;0.121951
05.569;05.607;115;0.156522
05.569;05.611;1520;0.165789
05.569;05.613;543;0.071823
05.569;05.614;206;0.213592
05.569;05.615;606;0.130363
05.569;05.616;83;0.084337
05.569;22.400;23;0.130435
05.570;05.554;1701;0.134039
05.570;05.555;1039;0.151107
05.570;05.556;3203;0.385888
05.570;05.557;774;0.138243
05.570;05.558;905;0.075138
05.570;05.559;1404;0.2151
05.570;05.560;287;0.052265
05.570;05.561;1068;0.093633
